,给矿,溢流,沉砂
干矿量 - [t/h],0,0,0
水量 - [t/h],0,0,0
液固比 - [%],0,0,0
质量浓度 - [%],0,0,0
体积浓度 - [%],0,0,0
矿浆密度 - [t/m³],0,0,0
细度-200目含量 - [%],0,0,0
矿浆量 - [t/h],0,0,0
矿浆量 - [m³/h],0,0,0
矿浆量 - [L/s],0,0,0
